indels,snvs,seed length,minimum match,match rate,time(s)
0,0,3,1,100,1.246867895
0,0,3,2,100,1.245961189
0,0,3,3,100,1.336213827
0,0,3,4,100,1.401951075
0,0,3,5,100,1.479234934
0,0,3,6,100,1.607612848
0,0,3,7,100,1.683557987
0,0,4,1,100,1.182399035
0,0,4,2,100,1.183830023
0,0,4,3,100,1.317190886
0,0,4,4,100,1.414935112
0,0,4,5,100,1.455003977
0,0,4,6,100,1.572048903
0,0,4,7,100,1.717828989
0,0,5,1,100,1.215738058
0,0,5,2,100,1.206454039
0,0,5,3,100,1.295416117
0,0,5,4,100,1.435182095
0,0,5,5,100,1.496451855
0,0,5,6,100,1.648526192
0,0,5,7,100,1.715553045
0,0,6,1,100,1.239120007
0,0,6,2,100,1.22504282
0,0,6,3,100,1.251284838
0,0,6,4,100,1.363623857
0,0,6,5,100,1.415596962
0,0,6,6,100,1.484600067
0,0,6,7,100,1.642386913
0,0,7,1,100,1.238209963
0,0,7,2,100,1.210126877
0,0,7,3,100,1.336773872
0,0,7,4,100,1.398553848
0,0,7,5,100,1.420487881
0,0,7,6,100,1.601678848
0,0,7,7,100,1.74555397
1,0,3,1,77.727,1.241840124
1,0,3,2,81.623,1.190004826
1,0,3,3,81.675,1.351640701
1,0,3,4,81.675,1.401055098
1,0,3,5,81.675,1.558387041
1,0,3,6,74.195,1.61939311
1,0,3,7,54.966,1.585319042
1,0,4,1,74.109,1.158359051
1,0,4,2,74.109,1.162841797
1,0,4,3,74.109,1.246196985
1,0,4,4,74.109,1.399006844
1,0,4,5,68.273,1.510516882
1,0,4,6,55.379,1.634948969
1,0,4,7,37.755,1.629853964
1,0,5,1,67.392,1.174407244
1,0,5,2,67.392,1.086131096
1,0,5,3,67.392,1.197042942
1,0,5,4,62.029,1.332995892
1,0,5,5,49.428,1.537966967
1,0,5,6,36.08,1.502662182
1,0,5,7,26.725,1.521013021
1,0,6,1,64.052,1.117176056
1,0,6,2,64.052,1.142910957
1,0,6,3,58.689,1.21720314
1,0,6,4,46.088,1.293964148
1,0,6,5,33.341,1.338138103
1,0,6,6,25.137,1.359982252
1,0,6,7,14.863,1.33124876
1,0,7,1,56.186,1.077734709
1,0,7,2,56.186,1.098884106
1,0,7,3,44.478,1.199892998
1,0,7,4,32.562,1.291183949
1,0,7,5,25.137,1.256796122
1,0,7,6,14.863,1.262130022
1,0,7,7,9.506,1.236176252
0,1,3,1,97.13,1.159507036
0,1,3,2,99.42,1.116113901
0,1,3,3,99.461,1.198174
0,1,3,4,99.461,1.29075098
0,1,3,5,99.461,1.569427013
0,1,3,6,99.461,1.631803989
0,1,3,7,99.461,1.745194912
0,1,4,1,100,1.19755578
0,1,4,2,100,1.150187016
0,1,4,3,100,1.221719027
0,1,4,4,100,1.419961691
0,1,4,5,100,1.538435936
0,1,4,6,100,1.666887999
0,1,4,7,80.925,1.618289232
0,1,5,1,100,1.156257153
0,1,5,2,100,1.119323969
0,1,5,3,100,1.250881672
0,1,5,4,100,1.35216713
0,1,5,5,85.599,1.415293932
0,1,5,6,65.205,1.414482832
0,1,5,7,39.375,1.382681847
0,1,6,1,100,1.127382994
0,1,6,2,100,1.136570692
0,1,6,3,90.38,1.208612919
0,1,6,4,74.465,1.267020941
0,1,6,5,52.681,1.268440008
0,1,6,6,39.375,1.273273945
0,1,6,7,26.169,1.240463257
0,1,7,1,88.368,1.084725142
0,1,7,2,83.71,1.1119802
0,1,7,3,66.076,1.181936026
0,1,7,4,52.681,1.207247972
0,1,7,5,39.375,1.208938837
0,1,7,6,26.169,1.200802803
0,1,7,7,12.771,1.143568993
2,0,3,1,61.833,1.254624844
2,0,3,2,67.275,1.246928215
2,0,3,3,66.594,1.39451313
2,0,3,4,64.135,1.512266874
2,0,3,5,54.886,1.622193813
2,0,3,6,43.469,1.595892191
2,0,3,7,30.597,1.577882051
2,0,4,1,58.153,1.112432957
2,0,4,2,59.583,1.182555199
2,0,4,3,58.077,1.258020163
2,0,4,4,49.758,1.383866787
2,0,4,5,39.329,1.541657925
2,0,4,6,28.424,1.537165165
2,0,4,7,17.474,1.506558895
2,0,5,1,52.454,1.18366003
2,0,5,2,53.823,1.252990961
2,0,5,3,45.881,1.329988956
2,0,5,4,35.893,1.43915081
2,0,5,5,25.409,1.441518068
2,0,5,6,16.075,1.420166254
2,0,5,7,10.635,1.383190155
2,0,6,1,43.99,1.075237989
2,0,6,2,43.391,1.136142015
2,0,6,3,32.822,1.204395771
2,0,6,4,23.166,1.254086971
2,0,6,5,14.662,1.251246214
2,0,6,6,10.429,1.290188074
2,0,6,7,6.686,1.226697922
2,0,7,1,33.651,1.098419905
2,0,7,2,31.422,1.135443926
2,0,7,3,22.283,1.18761611
2,0,7,4,14.606,1.196590662
2,0,7,5,10.429,1.193661928
2,0,7,6,6.686,1.186371088
2,0,7,7,4.695,1.181635141
0,2,3,1,94.493,1.164288998
0,2,3,2,98.529,1.167791128
0,2,3,3,98.914,1.238146067
0,2,3,4,98.931,1.361272097
0,2,3,5,91.846,1.508526087
0,2,3,6,69.026,1.60461688
0,2,3,7,46.67,1.434602022
0,2,4,1,99.69,1.033947229
0,2,4,2,99.962,1.093619823
0,2,4,3,96.571,1.329974174
0,2,4,4,83.167,1.308946133
0,2,4,5,65.878,1.400293112
0,2,4,6,43.281,1.473201752
0,2,4,7,22.8,1.353321075
0,2,5,1,93.052,1.246614933
0,2,5,2,88.433,1.230417967
0,2,5,3,74.806,1.374969006
0,2,5,4,55.632,1.352663994
0,2,5,5,36.499,1.369253874
0,2,5,6,21.421,1.297654152
0,2,5,7,12.471,1.26498723
0,2,6,1,76.772,1.243773222
0,2,6,2,66.629,1.257093906
0,2,6,3,48.463,1.322766066
0,2,6,4,32.179,1.237955093
0,2,6,5,20.922,1.217237949
0,2,6,6,12.471,1.207748175
0,2,6,7,6.663,1.169293642
0,2,7,1,56.987,1.154901981
0,2,7,2,45.903,1.164584875
0,2,7,3,31.817,1.218150139
0,2,7,4,20.922,1.194923878
0,2,7,5,12.471,1.162289143
0,2,7,6,6.663,1.059478998
0,2,7,7,3.596,1.051270008
1,1,3,1,74.097,1.183499098
1,1,3,2,76.695,1.115213156
1,1,3,3,75.417,1.251914978
1,1,3,4,70.745,1.352401257
1,1,3,5,58.125,1.600479841
1,1,3,6,45.091,1.560005903
1,1,3,7,29.831,1.512620211
1,1,4,1,68.478,1.067571163
1,1,4,2,66.59,1.128518105
1,1,4,3,61.068,1.215118647
1,1,4,4,50.131,1.28639102
1,1,4,5,35.882,1.337006092
1,1,4,6,24.362,1.475574017
1,1,4,7,15.215,1.353518009
1,1,5,1,56.747,1.041387081
1,1,5,2,54.089,1.166354895
1,1,5,3,42.766,1.321058035
1,1,5,4,30.726,1.333309174
1,1,5,5,20.791,1.275300026
1,1,5,6,12.371,1.294895172
1,1,5,7,7.045,1.293515921
1,1,6,1,41.254,1.139230251
1,1,6,2,38.566,1.214596987
1,1,6,3,27.594,1.260669947
1,1,6,4,18.205,1.201902628
1,1,6,5,11.294,1.225217819
1,1,6,6,6.821,1.259209156
1,1,6,7,3.49,1.236626863
1,1,7,1,28.623,1.10008502
1,1,7,2,25.907,1.091307163
1,1,7,3,17.525,1.110999107
1,1,7,4,11.193,1.125701189
1,1,7,5,6.821,1.129606962
1,1,7,6,3.49,1.118271112
1,1,7,7,1.391,1.080504894
